flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
195, 8, 64, small, 1, 207
195, 8, 64, small, 256, 8895
195, 8, 64, large, 1, 278
195, 8, 64, large, 256, 14391
195, 16, 16, small, 1, 584
195, 16, 16, small, 256, 79015
195, 16, 16, large, 1, 804
195, 16, 16, large, 256, 79368
195, 16, 32, small, 1, 239
195, 16, 32, small, 256, 19911
195, 16, 32, large, 1, 274
195, 16, 32, large, 256, 20308
195, 16, 64, small, 1, 204
195, 16, 64, small, 256, 9086
195, 16, 64, large, 1, 211
195, 16, 64, large, 256, 13955
323, 8, 16, small, 1, 594
323, 8, 16, small, 256, 79048
323, 8, 16, large, 1, 801
323, 8, 16, large, 256, 79190
323, 8, 32, small, 1, 230
323, 8, 32, small, 256, 19942
323, 8, 32, large, 1, 284
323, 8, 32, large, 256, 20301
323, 8, 64, small, 1, 175
323, 8, 64, small, 256, 6568
323, 8, 64, large, 1, 242
323, 8, 64, large, 256, 13545
323, 16, 16, small, 1, 594
323, 16, 16, small, 256, 79007
323, 16, 16, large, 1, 801
323, 16, 16, large, 256, 79394
323, 16, 32, small, 1, 235
323, 16, 32, small, 256, 19979
323, 16, 32, large, 1, 278
323, 16, 32, large, 256, 20143
323, 16, 64, small, 1, 175
323, 16, 64, small, 256, 6735
323, 16, 64, large, 1, 214
323, 16, 64, large, 256, 13290
flit_width, vc_buf_size, mvm_lanes, model, num_inputs, cycles
131, 8, 16, small, 1, 591
131, 8, 16, small, 256, 79016
131, 8, 16, large, 1, 787
131, 8, 16, large, 256, 79268
131, 8, 32, small, 1, 284
131, 8, 32, small, 256, 20081
131, 8, 32, large, 1, 360
131, 8, 32, large, 256, 22256
131, 16, 16, small, 1, 591
131, 16, 16, small, 256, 79084
131, 16, 16, large, 1, 809
131, 16, 16, large, 256, 79483
131, 16, 32, small, 1, 269
131, 16, 32, small, 256, 20206
131, 16, 32, large, 1, 333
131, 16, 32, large, 256, 22210
